Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.    IDs,Filters,Est.  comp.,Mbits,P/B (hrs @ 8.8 kb/s),P/B (hrs @ 17.6 kb/s),P/B (hrs @ 26.4 kb/s),week,Target,Description,Status
Opnav 94c KD,,NAV,03-Apr,094,21:37,0:40,22:17,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 30115, 30088",done
Star Calibration 095,,NAV,04-Apr,095,00:35,00:30,01:05,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
MSI_Ride_95a,,NLR,04-Apr,095,01:05,3:20,4:25,,8,380,1,4,2.8,210.33,7.38,3.67,2.46,00094,Eros,1 filter 4 image every 30 seconds,done
Opnav 95a KD,,NAV,04-Apr,095,4:27,0:28,4:55,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 30191, 30195",done
70 m track (26.4 kb/s),63,,04-Apr,095,5:10,5:00,10:10,,,,,,,222.63,7.81,3.89,2.61,,,,
Opnav 95b KD,,NAV,04-Apr,095,10:11,0:40,10:51,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 30191, 30183",done
Daily Global 95,,NAV,04-Apr,095,13:02,00:30,13:32,,8,32,18,4,2.6,19.07,0.7,0.3,0.2,00094,Eros,4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 95,,NAV,04-Apr,095,13:02,00:30,13:32,,,140,8,,,0.16,0.0,0.0,0.0,00094,Eros,7x4 mosaics during above slew,done
SouthPeriaps_100,,NAV/MSI,04-Apr,095,13:32,5:30,19:02,,8,201,18,4,2.6,119.81,4.20,2.09,1.40,00094,Eros,A series of mosaics to cover as much territory as possible (TABLE5+FAST),done
MSI_Ride_95b,,NLR,04-Apr,095,19:05,5:30,0:35,,8,15,1,4,2.8,8.30,0.29,0.15,0.10,00094,Eros,1 filter 4 image every 240 seconds,done
EquatPeriaps_100,,NAV/MSI,05-Apr,096,0:37,5:40,6:17,,8,216,18,4,2.6,128.75,4.52,2.25,1.51,00094,Eros,A series of mosaics to cover as much territory as possible (TABLE5+FAST),done
NIS EquatPeriaps,,MSI,05-Apr,096,0:37,5:40,6:17,,,1680,,,,1.92,0.07,0.03,0.02,00094,Eros,"NIS_Periapsis_LonScan: 4 mir pos, narrow (5 sec)",done
MSI_Ride_96,,NLR,05-Apr,096,06:42,4:05,10:47,,8,257,1,4,2.8,142.25,4.99,2.49,1.67,00094,Eros,1 filter 4 image every 30 seconds,done
Star Calibration 096,,NAV,05-Apr,096,12:45,00:12,12:57,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 96a KD,,NAV,05-Apr,096,13:05,0:28,13:33,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 30129, 40125",done
70 m track (26.4 kb/s),43,,05-Apr,096,13:35,8:00,21:35,,,,,,,432.68,14.33,7.14,4.78,,,,
Opnav 96b KD,,NAV,05-Apr,096,21:36,0:40,22:16,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 20035, 40013",done
Star Calibration 097,,NAV,06-Apr,097,00:38,00:12,00:50,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00094,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
NorthPeriaps_100,,NAV/MSI,06-Apr,097,0:58,5:53,6:51,,8,246,18,4,2.6,146.64,5.14,2.56,1.72,00094,Eros,A series of mosaics to cover as much territory as possible (TABLE5+FAST),done
MSI_Ride_97,,NLR,06-Apr,097,06:53,5:30,12:23,,8,632,1,4,2.8,349.81,12.27,6.11,4.09,00094,Eros,1 filter 4 image every 30 seconds,done
Daily Global 97,,NAV,06-Apr,097,12:25,00:38,13:03,,8,16,18,4,2.6,9.54,0.3,0.2,0.1,00094,Eros,4x4 in filter 4 (TABLE 5 + FAST),done
NIS Daily Global 97,,NAV,06-Apr,097,12:25,00:38,13:03,,,140,8,,,0.16,0.0,0.0,0.0,00094,Eros,7x4 mosaics during above slew,done
Opnav 97a KD,,NAV,06-Apr,097,13:09,0:28,13:37,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 40013, 40042",done
70 m track (26.4 kb/s),43,,06-Apr,097,13:35,9:00,22:35,,,,,,,518.45,18.19,9.06,6.07,,,,
Opnav 97b KD,,NAV,06-Apr,097,22:41,0:40,23:21,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00094,Eros,"2x2s pointed to a landmarks 40082, 40099",done
MSI_Ride_98a,,NLR,07-Apr,098,01:45,5:30,7:15,,8,320,1,4,2.8,177.12,6.21,3.09,2.07,00094,Eros,1 filter 4 image every 60 seconds,done
