Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
 Opnav 59a KF,,NAV,28-Feb,059,00:15,00:17,00:32,F,8,6,27,4,2.5,3.72,0.1,0.1,0.0,00059,Eros,2x3 start stop mosaic in filter 4 (TABLE 5 + FAST),done
NIS Cal target O2,,NIS,28-Feb,059,03:00,01:00,04:00,,,100,10,,,0.11,0.0,0.0,0.0,00059,cal target,NIS_Caltarg_O2: Standard NIS_CAL,done
 Opnav 59b KF,,NAV,28-Feb,059,06:00,00:17,06:17,F,8,6,27,4,2.5,3.72,0.1,0.1,0.0,00059,Eros,2x3 start stop mosaic in filter 4 (TABLE 5 + FAST),done
Star Calibration 059,,NAV,28-Feb,059,09:30,00:10,09:40,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00059,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Daily Global 059,,NAV,28-Feb,059,10:15,00:30,10:45,,8,16,18,4,2.5,9.92,0.3,0.2,0.1,00059,Eros,DailyGlobal_059: 4x4 in filter 4 (TABLE 5 + FAST),done
 Opnav 59c KF,,NAV,28-Feb,059,13:00,00:17,13:17,F,8,6,27,4,2.5,3.72,0.1,0.1,0.0,00059,Eros,2x3 start stop mosaic in filter 4 (TABLE 5 + FAST),done
Daily Global 060,,NAV,29-Feb,060,02:00,00:30,02:30,,8,16,18,4,2.5,9.92,0.3,0.2,0.1,00059,Eros,DailyGlobal_060: 4x4 in filter 4 (TABLE 5 + FAST),done
Star Calibration 060,,NAV,29-Feb,060,03:00,00:10,03:10,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00059,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
 Opnav 60a H,,NAV,29-Feb,060,04:45,00:17,05:02,F,8,9,27,4,2.5,5.58,0.2,0.1,0.1,00059,Eros,3x3 mosaic in filter 4 (TABLE 5 + FAST),done
70m  track (26.4 kb/s),63,,29-Feb,060,05:30,03:30,09:00,,,,,,,41.65,1.46,0.73,0.49,,,,
