Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
Mono Light Curve Seq 1,,NAV,05-Nov,309,20:50,6:26,3:16,,12,90,0,2.5,55.79,1.0,98306,MSI_Lightcrv_1:1 clr filter image every 5 deg of rotation for 1.2 Eros rot.  Followed by two images with no compression. Autoexp.,done
Multispectral Rotation Seq.,,MSI-NIS,09-Nov,313,4:05,1:30,5:35,,12,230,"0-7 + 1,3,4 + 1,2,3,4",2.5,142.58,2.5,98306,MSI_MSRot_1: 3 or 4 filters every 1.5 deg of rotation; 8 filters every 30 deg for 0.33 Eros rotation.  Autoexp.,done
NIS Multispectral Rotation Seq Test,,MSI-NIS,09-Nov,313,4:05,0:03,4:08,,12,50,,,0.06,0.0,98306,"NIS_MSRot_tst: Mirror position 73-77 w/ 12 sec integration, 10 executes.",done
NIS Lightcurve Seq Test,,MSI-NIS,09-Nov,313,4:40,0:05,4:45,,12,20,,,0.02,0.0,98306,"NIS_Lightcrv_tst: Mirror position 75 w/ 16 sec integration, 10 executes each of narrow and wide.",done
NIS Satellite Search Seq Test,,MSI-NIS,09-Nov,313,5:15,0:10,5:25,,12,80,,,0.09,0.0,98306,"NIS_Satsrch_tst: Mirror position 72-78 w/ 8 sec integration, 10 executes",done
NIS Exerciser,,MSI-NIS,09-Nov,313,5:45,1:15,7:00,,12,747,,,0.86,0.0,98306,NIS_Exerciser: 1 execute each of seq defs 3-9.,done
,63,,09-Nov,313,12:50,3:55,16:45,,,,,,,,,,
,25,,09-Nov,313,19:25,4:40,0:05,,,,,,,,,,
,34,,10-Nov,314,23:20,4:55,4:15,,,,,,,,,,
,54,,11-Nov,315,14:40,4:55,19:35,,,,,,,,,,
,25,,11-Nov,315,19:20,5:25,0:45,,,,,,,,,,
,54,,12-Nov,316,14:10,4:10,18:20,,,,,,,,,,
,54,,16-Nov,320,15:00,4:05,19:05,,,,,,,,,,
,25,,16-Nov,320,19:10,3:05,22:15,,,,,,,,,,
,54,,18-Nov,322,14:55,4:05,19:00,,,,,,,,,,
,25,,18-Nov,322,19:05,7:40,2:45,,,,,,,,,,
Mono Light Curve Seq 2,,NAV,19-Nov,323,3:30,6:56,10:26,,12,94,0,2.5,58.27,1.0,98320,MSI_Lightcrv_2:1 clr filter image every 5 deg of rotation for 1.2 Eros rot.  Autoexp.,done
NIS Global Morph Seq Test,,MSI-NIS,19-Nov,323,3:40,0:07,3:47,,12,35,,,0.04,0.0,98320,"NIS_GlobalMorph_tst: Mirror position 72-77 w/ 4 sec integration, no darks, 5 executes",done
NIS Global Color Seq Test,,MSI-NIS,19-Nov,323,3:47,0:15,4:02,,12,40,,,0.05,0.0,98320,"NIS_GlobalClr_tst: Mirror position 72-78 w/ 16 sec integration, 5 executes",done
NIS Landmark Rotation Seq Test,,MSI-NIS,19-Nov,323,4:02,0:15,4:17,,12,40,,,0.05,0.0,98320,"NIS_Landrot_tst: Mirror position 72-78 w/ 16 sec integration, 5 executes",done
,54,,19-Nov,323,12:00,7:10,19:10,,,,,,,,,,
NIS Caltarget Mirror Test,,MSI-NIS,20-Nov,324,0:00,0:23,0:23,,12,60,,,0.07,0.0,98320,NIS_Caltarg_tst1: Point to Caltarget and shift mirror bet. Position 0 and 40 taking data.,done
NIS Caltarget Slew Test,,MSI-NIS,20-Nov,324,1:00,0:41,1:41,,12,30,,,0.03,0.0,98320,NIS_Caltarg_tst2: Point to Caltarget and slew away while taking data.,done
NIS Caltarget 1,,MSI-NIS,20-Nov,324,2:00,0:32,2:32,,12,50,,,0.06,0.0,98320,NIS_Caltarg_1: Standard CalTarget,done
Opnav A1,,NAV,20-Nov,324,3:00,0:11,3:11,F,12,16,0,1,24.80,0.4,98320,OPA1:16 frames slewing across 2 pixels.  Man exp (999ms).,done
MSI Spacecraft-Body Fix Test,,MSI-NIS,20-Nov,324,9:00,0:02,9:02,,12,5,,2.5,3.10,0.1,98320,MSI_SBF_Test:Slew to Eros and use SBF system to scan and take 5 frames Man (999 ms).,done
Opnav B1,,NAV,20-Nov,324,10:00,0:11,10:11,F,12,8,0,2.5,4.96,0.1,98320,"OPB1:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 2 auto, 3 short, 2 999ms)",done
Opnav C1,,NAV,20-Nov,324,15:00,0:12,15:12,F,8,5,0,2.5,3.10,0.1,98320,OPC1:1x1 followed by 2x2 autoexp.,done
,54,,20-Nov,324,17:00,2:00,19:00,,,,,,,,,,
,15,,20-Nov,324,19:00,4:15,23:15,,,,,,,,,,
,65,,23-Nov,327,14:40,4:20,19:00,,,,,,,,,,
,34,,23-Nov,327,23:00,4:00,3:00,,,,,,,,,,
,54,,25-Nov,329,12:00,7:00,19:00,,,,,,,,,,
,25,,25-Nov,329,18:30,2:45,21:15,,,,,,,,,,
,54,,27-Nov,331,14:30,4:00,18:30,,,,,,,,,,
,25,,27-Nov,331,22:00,2:45,0:45,,,,,,,,,,
,54,,02-Dec,336,14:30,12:25,2:55,,,,,,,,,,
,65,,04-Dec,338,12:00,6:45,18:45,,,,,,,,,,
Opnav A2,,NAV,07-Dec,341,9:40,0:11,9:51,T,12,16,0,1,49.59,0.9,98334,OPNA2:16 frames slewing across 2 pixels.  Man exp (999ms).,cancel
Opnav B Prime 1,,NAV,07-Dec,341,10:00,0:20,10:20,T,12,8,0,2.5,9.92,0.2,98334,"OPBP1:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",cancel
,54,,07-Dec,341,11:15,15:15,2:30,,,,,,,,,,
,25,,08-Dec,342,18:35,7:55,2:30,,,,,,,,,,
,25,,09-Dec,343,18:30,8:00,2:30,,,,,,,,,,
,25,,10-Dec,344,18:30,7:45,2:15,,,,,,,,,,
,65,,11-Dec,345,15:25,10:50,2:15,,,,,,,,,,
,25,,12-Dec,346,18:20,7:55,2:15,,,,,,,,,,
,25,,13-Dec,347,18:20,7:55,2:15,,,,,,,,,,
,34,,14-Dec,348,4:55,5:55,10:50,,,,,,,,,,
,54,,14-Dec,348,10:40,7:50,18:30,,,,,,,,,,
Opnav A3,,NAV,14-Dec,348,11:00,0:11,11:11,T,12,16,0,1,49.59,0.9,98341,OPNA3:16 frames slewing across 2 pixels.  Man exp (999ms).,done
NIS SDC Test1,,NIS,14-Dec,348,11:00,0:11,11:11,,12,35,,,0.04,0.0,98341,"NIS_SDC_TST1: Mirror position 72-78 w/ 8 sec integration, 5 executes",done
Opnav B Prime 3,,NAV,14-Dec,348,11:23,0:20,11:43,F,12,8,0,2.5,4.96,0.1,98341,"OPNBP3:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
NIS SDC Test2,,NIS,14-Dec,348,11:23,0:20,11:43,,12,196,,,0.22,0.0,98341,"NIS_SDC_TST2: Mirror position 72-78 w/ 8 sec integration, 28 executes",done
,25,,14-Dec,348,18:10,8:05,2:15,,,,,,,,,,
Mono Light Curve Seq 3,,NAV,15-Dec,349,2:32,5:58,8:30,,12,46,0,2.5,28.52,0.5,98348,MSI_Lightcrv_3:1 clr filter image every 8.76 deg of rotation for 1.2 Eros rot.  Autoexp.+1 uncompressed image,done
NIS Light Curve 3,,MSI/NIS,15-Dec,349,2:42,5:48,8:30,,12,46,,,0.05,0.0,98348,"NIS_Lightcrv3: Narrow (3x16sec,4dark+10sec), Wide(same)",done
,34,,15-Dec,349,3:55,6:55,10:50,,,,,,,,,,
,45,,15-Dec,349,7:00,3:50,10:50,,,,,,,,,,
Opnav A4,,NAV,15-Dec,349,10:30,0:11,10:41,F,12,16,0,1,24.80,0.4,98348,OPNA_4: 16 frames slewing across 2 pixels.  Man exp (999ms).,done
,25,,15-Dec,349,18:10,8:05,2:15,,,,,,,,,,
Opnav A5,,NAV,16-Dec,350,11:30,0:11,11:41,F,12,16,0,1,24.80,0.4,98348,OPNA_5: 16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime 5,,NAV,16-Dec,350,11:41,0:20,12:01,F,12,8,0,2.5,4.96,0.1,98348,"OPNBP_5:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
,25,,16-Dec,350,18:10,8:05,2:15,,,,,,,,,,
NASA Hq Press conf.,,,16-Dec,,,,,,,,,,,,,"1 PM EST (Cheng, Farquhar, Yeomans, Veverka, Santo)",
Opnav A6,,NAV,17-Dec,351,10:30,0:11,10:41,T,12,16,0,1,49.59,0.9,98348,OPNA_6: 16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime 6,,NAV,17-Dec,351,10:41,0:20,11:01,F,12,8,0,2.5,4.96,0.1,98348,"OPNBP_6:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
,25,,17-Dec,351,18:10,8:05,2:15,,,,,,,,,,
Opnav A7,,NAV,18-Dec,352,11:30,0:11,11:41,F,12,16,0,1,24.80,0.4,98348,OPNA_7: 16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime 7,,NAV,18-Dec,352,11:41,0:20,12:01,F,12,8,0,2.5,4.96,0.1,98348,"OPNBP_7:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
,15,,18-Dec,352,18:10,8:05,2:15,,,,,,,,,,
,25,,19-Dec,353,18:10,8:05,2:15,,,,,,,,,,
,15,,20-Dec,354,23:35,9:00,8:35,,,,,,,,,,
,63,,21-Dec,355,9:10,1:30,10:40,,,,,,,,,,
,15,,21-Dec,355,23:30,7:55,7:25,,,,,,,,,,
,45,,22-Dec,356,2:00,8:35,10:35,,,,,,,,,emergency support,
,43,,22-Dec,356,2:05,8:30,10:35,,,,,,,,,,
,63,,22-Dec,356,10:15,8:35,18:50,,,,,,,,,,
,65,,22-Dec,356,10:15,8:00,18:15,,,,,,,,,,
,15,,22-Dec,356,18:25,8:10,2:35,,,,,,,,,,
,14,,22-Dec,356,19:00,7:35,2:35,,,,,,,,,,
,43,,23-Dec,357,2:15,8:15,10:30,,,,,,,,,,
,45,,23-Dec,357,2:30,8:00,10:30,,,,,,,,,,
,63,,23-Dec,357,10:15,8:25,18:40,,,,,,,,,,
,65,,23-Dec,357,10:45,7:55,18:40,,,,,,,,,,
Satellite Search 1 contingency ,,MSI/NIS,23-Dec,357,15:30,0:20,15:50,,12,64,0,2.3,43.13,0.8,98357,"MSI_SatSrch1_emerg: Take 4x4 centered on Eros. Repeat 3 additional times.  4 frames at each position. Clr filter, man exp 4,999,999,4 ms.",done
Multispectral Rotation Contingency,,MSI/NIS,23-Dec,357,16:00,5:30,21:30,,12,897,"1,2,3,4,5,6,7",2.3,604.42,10.6,98357,MSI_rot_emerg: 2x2 interlaced with a 1x1 in 7 filters auto exp.  At closest approach 4x4 in clear filter.  Auto exp.,done
NIS Multispectral Rotation Contingency,,MSI/NIS,23-Dec,357,16:00,5:45,21:45,,12,4830,,,5.53,0.1,98357,"NIS_rot_emerg: mirror positions 72-78, Narrow (7x3sec,0dark+0 rest)",done
Satellite Search 2 contingency ,,MSI/NIS,23-Dec,357,22:00,0:20,22:20,,12,64,0,2.3,43.13,0.8,98357,"MSI_SatSrch2_emerg: Take 4x4 centered on Eros. Repeat 3 additional times.  4 frames at each position. Clr filter, man exp 4,999,999,4 ms.",done
,63,,24-Dec,358,10:15,8:35,18:50,,,,,,,,,PB Eros Encounter,
,63,,27-Dec,361,10:05,8:10,18:15,,,,,,,,,PB Eros Encounter,
,63,,28-Dec,362,14:30,4:00,18:30,,,,,,,,,TP ER REN Burn 2,
Opnav A N1,,NAV,28-Dec,363,3:00,0:11,3:11,F,12,16,0,1,24.80,0.4,98361,OPNA_N1:16 frames slewing across 2 pixels.  Man exp (999ms).,done
Opnav B Prime N1,,NAV,28-Dec,363,3:15,0:12,3:27,F,12,8,0,2.5,4.96,0.1,98361,"OPNB_N1:8 clr filter images exposed for Eros, 3 exposed for stars (1 999 ms, 3 auto, 2 short, 2 999ms)",done
Opnav C N1,,NAV,28-Dec,363,3:30,0:12,3:42,F,8,5,0,2.5,3.10,0.1,98361,OPNC_N1:1x1 followed by 2x2 autoexp.,done
,63,,29-Dec,363,14:30,4:00,18:30,,,,,,,,,TP ER REN Burn 3,
,65,,30-Dec,364,10:00,8:00,18:00,,,,,,,,,,
