Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
NIS Low Phase Flyby test 1,,NIS,15-Dec,349,13:00,,,,,,,,,0.00,0.0,0.0,0.0,,,,done
,,NIS,15-Dec,349,13:09,0:14,13:23,,,19,,,,0.02,0.0,0.0,0.0,99347,space,GLOBAL_MAP_50_IN,done
,,NIS,15-Dec,349,13:25,7:30,20:55,,,1707,,,,1.96,0.1,0.0,0.0,99347,space,LAT_SCANS_50-45_IN,done
,,NIS,15-Dec,349,20:59,0:15,21:14,,,36,,,,0.04,0.0,0.0,0.0,99347,space,GLOBAL_MAP_45_IN,done
,,NIS,15-Dec,349,21:20,3:50,1:10,,,842,,,,0.96,0.0,0.0,0.0,99347,space,LAT_SCANS_45-40_IN,done
,,NIS,16-Dec,350,1:15,0:50,2:05,,,1753,,,,2.01,0.1,0.0,0.0,99347,space,FULL_NIXEL_TEST,done
,,NIS,16-Dec,350,2:10,0:15,2:25,,,49,,,,0.06,0.0,0.0,0.0,99347,space,GLOBAL_MAP_40_IN,done
,,NIS,16-Dec,350,2:30,4:35,7:05,,,1820,,,,2.08,0.1,0.0,0.0,99347,space,InGas_OPT_LAT_SCAN_40-30_IN,done
,,NIS,16-Dec,350,7:10,0:30,7:40,,,90,,,,0.10,0.0,0.0,0.0,99347,space,GLOBAL_MAP_30_IN,done
,,NIS,16-Dec,350,7:45,1:00,8:45,,,400,,,,0.46,0.0,0.0,0.0,99347,space,InGas_OPT_LAT_SCAN_30-20_IN,done
,,NIS,16-Dec,350,8:50,2:38,11:28,,,500,,,,0.57,0.0,0.0,0.0,99347,space,GLOBAL_MPPS_IN,done
,,NIS,16-Dec,350,11:31,0:55,12:26,,,228,,,,0.26,0.0,0.0,0.0,99347,space,LOW_PHASE_MPPS,done
,,NIS,16-Dec,350,12:30,1:32,14:02,,,422,,,,0.48,0.0,0.0,0.0,99347,space,GLOBALS_OUT,done
