Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,SWUploadValidation_2,1998-210,98201,0077122028-0077123902,1998-210T11:30:19,1998-210T12:01:33,"2,4,5,6,7,8,9,10,11,12,13","0,1,2,3,4,5,6,7",68,5,lossless,SWUploadValidation_2,Validation of software upload,,,,
 ,,SpacecraftRollTest_a,1998-231,98229,0078913009-0078913744,1998-231T04:59:59,1998-231T05:12:14,"3,4 ","0,6,7",24,0,lossless,SpacecraftRollTest_a,Test of star camera attitude information,,,,
,,SpacecraftRollTest_b,1998-231,98229,0078914089-0078923809,1998-231T05:17:59,1998-231T07:59:59,27,"0,6,7",161,0,lossless,SpacecraftRollTest_b,Continued-test of star camera attitude info (last image is Opnav E test),,,,
,,OpnavTest,1998-273,98264,0082576008-0082576008,1998-273T14:29:57,1998-273T14:29:57,27,0,1,0,lossless,OpnavTest,Optical navigation test,opnav.txt,,,
4061980 km,-14,MonoLightCurveSeq_1a,1998-309,98306,0085709808-0085732953,1998-309T20:59:57,1998-310T03:25:42,"26,30",0,89,0,"lossless,none",MonoLightCurveSeq_1a,1 clear filter image every 5 deg of rotation for 1.2 Eros rot. Followed by two images with no compression. Autoexp.,lightcurves.txt,monolightcurveseq_1a.gif,,
3732600 km,-16,MonoLightCurveSeq_1b,1998-313,98306,0085995108-0085999862,1998-313T04:14:56,1998-313T05:34:10,"25,20,24","0,1,2,3,4,5,6,7",230,0,"none,lossless",MonoLightCurveSeq_1b," 8 filters (no compr) every 30 deg, with alternating 3 or 4 filters (fast) every 1.5  deg in between; all for 0.33 Eros rot. Autoexp.",lightcurves.txt,.,,
2906770 km,-20,MonoLightCurveSeq_2,1998-323,98320,0086857008-0086881204,1998-323T03:39:56,1998-323T10:23:12,26,0,93,0,lossless,MonoLightCurveSeq_2,1 clear filter image every 5 deg of rotation for 1.3 Eros rot. Autoexp.,lightcurves.txt,monolightcurveseq_2.gif,,
,,Opnav_A1,1998-324,98320,0086941012-0086941042,1998-324T03:00:00,1998-324T03:00:30,30,0,16,0,none,Opnav_A1,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,opnav_a1.gif,,
,,Opnav_B1,1998-324,98320,0086962608-0086966226,1998-324T08:59:56,1998-324T10:00:14,"29,28",0,13,0,lossless,Opnav_B1,"8 clear filter imgs:  5 autoexp for Eros, 3 manexp 999ms for stars",opnav.txt,opnav_b1.gif,,
,,Opnav_C1,1998-324,98320,0086984209-0086984749,1998-324T14:59:57,1998-324T15:08:57,27,0,5,0,lossless,Opnav_C1,"1x1 followed by 2x2 mosaic, clr filter. Autoexp.",opnav.txt,opnav_c1.gif,,
,,Opnav_A3,1998-348,98341,0089043413-0089043443,1998-348T11:00:01,1998-348T11:00:31,30,0,16,0,none,Opnav_A3,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
,,Opnav_BPrime3,1998-348,98341,0089044789-0089044818,1998-348T11:22:57,1998-348T11:23:26,"29,8,9",0,8,0,lossless,Opnav_BPrime3,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
736308 km,-29,MonoLightCurveSeq_3,1998-349,98348,0089099329-0089120077,1998-349T02:31:57,1998-349T08:17:45,"26,30",0,47,0,"lossless,none",MonoLightCurveSeq_3,1 clr filter image every 8.76 deg of rotation for 1.2 Eros rot. Autoexp. Afterward 1 uncompressed image,lightcurves.txt,monolightcurveseq_3.gif,,,
,,Opnav_A4,1998-349,98348,0089128013-0089128043,1998-349T10:30:01,1998-349T10:30:31,30,0,16,0,none,Opnav_A4,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,opnav_a4.gif,,,
,,Opnav_A5,1998-350,98348,0089218013-0089218043,1998-350T11:30:01,1998-350T11:30:31,30,0,16,0,none,Opnav_A5,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime5,1998-350,98348,0089218669-0089218698,1998-350T11:40:57,1998-350T11:41:26,"29,8,9",0,8,0,lossless,Opnav_BPrime5,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,Opnav_A6,1998-351,98348,0089300813-0089300843,1998-351T10:30:01,1998-351T10:30:31,30,0,16,0,none,Opnav_A6,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime6,1998-351,98348,0089301469-0089301498,1998-351T10:40:57,1998-351T10:41:26,"29,8,9",0,8,0,lossless,Opnav_BPrime6,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,Opnav_A7,1998-352,98348,0089390813-0089390843,1998-352T11:30:01,1998-352T11:30:31,30,0,16,0,none,Opnav_A7,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime7,1998-352,98348,0089391469-0089391498,1998-352T11:40:57,1998-352T11:41:26,"29,8,9",0,8,0,lossless,Opnav_BPrime7,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,Opnav_A8,1998-353,98348,0089473613-0089473643,1998-353T10:30:04,1998-353T10:30:34,30,0,16,0,none,Opnav_A8,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime8,1998-353,98348,0089474269-0089474298,1998-353T10:41:00,1998-353T10:41:29,"29,8,9",0,6,0,lossless,Opnav_Bprime8,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,SatSrch1_contingency,1998-357,98357,0089837809-0089838577,1998-357T15:39:56,1998-357T15:52:44,27,0,64,0,lossless,SatSrch1_contingency,"Take 4x4 mosaic centered on Eros. 4 frames at each position. Clr filter, man exp 4,999,999,4 ms.",erosflyby.txt,satsrch1_contingency.gif,,,
About 3830 km at ca,-32,MultispecRot_conting,1998-357,98357,0089839519-0089860186,1998-357T16:08:26,1998-357T21:52:53,"25,19","0,1,2,3,4,5,6,7",898,0,lossless,MultispecRot_conting,"2x2 mosaics interlaced with a 1x1 centered on Eros, in 7 filters, autoexp. At closest approach 4x4 mosaic in clear filter centered on Eros. Autoexp.",erosflyby.txt,multispecrot_conting.gif,,,
,,SatSrch2_contingency,1998-357,98357,0089861209-0089861977,1998-357T22:09:56,1998-357T22:22:44,27,0,64,0,lossless,SatSrch2_contingency,"Take 4x4 mosaic centered on Eros. 4 frames at each position. Clr filter, man exp 4,999,999,4 ms.",erosflyby.txt,satsrch2_contingency.gif,,,
,,Opnav_A_N1,1998-363,98361,0090310613-0090310643,1998-363T03:00:00,1998-363T03:00:30,30,0,16,0,none,Opnav_A_N1,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,,
,,Opnav_BPrime_N1,1998-363,98361,0090311509-0090311538,1998-363T03:14:56,1998-363T03:15:25,"29,8,9",0,8,0,lossless,Opnav_BPrime_N1,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,,
,,Opnav_C_N1,1998-363,98361,0090312409-0090312949,1998-363T03:29:56,1998-363T03:38:56,27,6,5,0,lossless,Opnav_C_N1,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
,,Opnav_A_N2,1999-001,98361,0090587813-0090587843,1999-001T07:59:59,1999-001T08:00:29,30,0,16,0,none,Opnav_A_N2,16 frames slewing across 2 pixels. Man exp (999ms).,opnav.txt,.,,
685028 km,-35,Opnav_BPrime_N2,1999-001,98361,0090588709-0090588738,1999-001T08:14:55,1999-001T08:15:24,"29,8,9",0,8,0,lossless,Opnav_BPrime_N2,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,.,,
,,Opnav_C_N2,1999-001,98361,0090589609-0090590149,1999-001T08:29:55,1999-001T08:38:55,27,6,5,0,lossless,Opnav_C_N2,"1x1 followed by 2x2 mosaic,  filter 6. Autoexp.",opnav.txt,.,,
