Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,Moon1_SW_Validation,1996-051,,0000233628-0000235161,1996-051T13:37:17,1996-051T14:02:50,,"0,1,2,4,5,6",9,0,,Moon1_SW_Validation,Software validation,,,,
,,Moon1,1996-051,launchmoonseq.txt,0000256345-0000258201,1996-051T19:55:54,1996-051T20:26:50,,"0,1,2,3,4,5,6,7",42,0,,Moon1,"Linearity, radiometric responsivity, scattered light",,,,
,,Hyakutake_DrkCurr_a,1996-084,hyakutakeseq.txt,0003088771-0003088771,1996-084T14:42:59,1996-084T14:42:59,,7,1,0,,Hyakutake_DrkCurr_a,Dark current monitoring,,,,
,,Hyakutake_Pointing,1996-084,hyakutakeseq.txt,0003089211-0003092472,1996-084T14:50:19,1996-084T15:44:40,,"0,1,2,5",26,0,,Hyakutake_Pointing,Pointing accuracy.,,,,
,,Hyakutake_DrkCurr_b,1996-084,hyakutakeseq.txt,0003093071-0003093371,1996-084T15:54:39,1996-084T15:59:39,,7,2,0,,Hyakutake_DrkCurr_b,Dark current monitoring ,,,,
,,Canopus1_DrkCurr,1996-120,canopus1seq.txt,0006172292-0006172294,1996-120T07:15:00,1996-120T07:15:02,,7,2,0,,Canopus1_DrkCurr,Dark current monitoring,,,,
,,Canopus1,1996-120,canopus1seq.txt,0006173014-0006175602,1996-120T07:27:02,1996-120T08:10:10,,"0,1,2,3,4,5,6,7",60,0,,Canopus1,"Small-scale nonuniformity of CCD, point-spread function, radiometric responsivity with lens cover on,",,,,
,,Canopus2_DrkCurr,1996-123,canopus2seq.txt,0006427889-0006427891,1996-123T06:14:57,1996-123T06:14:59,,7,2,0,,Canopus2_DrkCurr,Dark current monitoring,,,,
,,Canopus2,1996-123,canopus2seq.txt,0006428669-0006430102,1996-123T06:27:57,1996-123T06:51:50,,"0,1,2,3,4,5,6,7",30,0,,Canopus2,"Point-spread function, radiometric responsivity with cover off",,,,
,,Praesepe_GeomCal,1996-123,canopus2seq.txt,0006431069-0006434364,1996-123T07:07:57,1996-123T08:02:52,,"0,1,3,5",16,0,,Praesepe_GeomCal,"Geometric distortion, boresight in spacecraft coordinate system",,,,
,,DarkCurrent1,1996-143,,0008211989-0008214390,1996-143T21:49:56,1996-143T22:29:57,,"4,7",11,0,,DarkCurrent1,Dark current monitoring,,,,
,,LowSunTst_DrkCurr_a,1996-178,lowsuntestseq.txt,0011225789-0011225791,1996-178T18:59:56,1996-178T18:59:58,,7,2,0,,LowSunTst_DrkCurr_a,Dark current monitoring,,,,
,,LowSunTest_kappaVel,1996-178,lowsuntestseq.txt,0011226449-0011227289,1996-178T19:10:56,1996-178T19:24:56,,"0,1,5",5,0,,LowSunTest_kappaVel,Scattered light at 85 degree phase angle,,,,
,,LowSunTest_gamma2Vel,1996-178,lowsuntestseq.txt,0011227709-0011228549,1996-178T19:31:56,1996-178T19:45:56,,"0,1,5",5,0,,LowSunTest_gamma2Vel,Scattered light at 99 degree phase angle,,,,
,,LowSunTest_piPuppis,1996-178,lowsuntestseq.txt,0011228969-0011229809,1996-178T19:52:56,1996-178T20:06:56,,"0,1,5",5,0,,LowSunTest_piPuppis,Scattered light at 113 degree phase angle,,,,
