/* This file is the Observation log for Macros that were executed by the 
/* NEAR XGRS instrument system.  A description of each record can be found
/* in the XGRS_COMMAND_DESC.TXT and XGRS_INST_USER_GUIDE4.TXT document.
/*
XGRS_Command_#ID,XGRS_Command,XGRS_Mode,YEAR,DOY,HH:MM:SS,PARM  #1,PARM #2,PARM #3,PARM #4,PARM #4,PARM #5,PARM #6
cal_src_home,XGRS_CAL_SRC_HOME,Cal_Source_home,2000,17,21:55:00,,,,,,,
al_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,17,22:00:00,AL,FORWARD,,,,,
mg_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,18,2:00:00,MG,FORWARD,,,,,
un_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,18,4:00:00,CLEAR,FORWARD,,,,,
mg_cal_2,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,19,4:00:00,MG,FORWARD,,,,,
cal_src_home,XGRS_CAL_SRC_HOME,Cal_Source_home,2000,24,21:55:00,,,,,,,
al_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,24,22:00:00,AL,FORWARD,,,,,
mg_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,25,2:00:00,MG,FORWARD,,,,,
un_cal_1,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,25,4:00:00,CLEAR,FORWARD,,,,,
mg_cal_2,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,26,4:00:00,MG,FORWARD,,,,,
xgrs_std_pwr_off,XGRS_STD_POWER_OFF,XGRS_STD_POWER_OFF,2000,32,4:00:00,,,,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,57,11:55:00,24600,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,57,11:55:00,24600,MG,FORWARD,,,,
cal_src_home,XGRS_CAL_SRC_HOME,Cal_Source_home,2000,60,23:12:00,,,,,,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,61,18:05:00,28800,AL,,,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,61,18:05:00,28800,AL,FORWARD,,,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,62,15:01:00,28800,CLEAR,,,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,62,15:01:00,28800,CLEAR,FORWARD,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,67,12:00:00,28800,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,67,12:00:00,28800,MG,FORWARD,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,74,16:00:00,28500,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,74,16:00:00,28500,MG,FORWARD,,,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,76,12:30:00,26700,AL,,,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,76,12:30:00,26700,AL,FORWARD,,,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,78,14:30:00,27000,CLEAR,,,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,78,14:30:00,27000,CLEAR,FORWARD,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,82,14:15:00,27900,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,82,14:15:00,27900,MG,FORWARD,,,,
rt_val_thr,XGRS_X_RAY_RISE_TIME_THRESHOLD,X_RAY_RISE_TIME_THRESHOLD,2000,88,0:00:00,135,135,135,135,62,62,62
grs_hv,XGRS_GAMMA_RAY_HV,GAMMA_RAY_HIGH_VOLTAGE,2000,88,0:00:00,2280,2255,,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,88,14:50:00,24000,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,88,14:50:00,24000,MG,FORWARD,,,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,89,14:20:00,25800,AL,,,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,89,14:20:00,25800,AL,FORWARD,,,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,90,14:20:00,27600,CLEAR,,,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,90,14:20:00,27600,CLEAR,FORWARD,,,,
cal_mg,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,97,14:00:00,28800,MG,,,,,
cal_mg,XGRS_CAL_SRC_POS_HOME,Source_home,2000,97,14:00:00,28800,MG,FORWARD,,,,
valid_rt_thr,XGRS_X_RAY_RISE_TIME_THRESHOLD,X_RAY_RISE_TIME_THRESHOLD,2000,102,0:00:00,135,135,135,135,74,74,74
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,104,15:00:00,25200,AL,,,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,104,15:00:00,25200,AL,FORWARD,,,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,105,15:00:00,24600,CLEAR,,,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,105,15:00:00,24600,CLEAR,FORWARD,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,107,14:00:00,23400,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,107,14:00:00,23400,MG,FORWARD,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,109,15:45:00,27900,MG,,,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,109,15:45:00,27900,MG,FORWARD,,,,
pin_hv_on,XGRS_X_RAY_HV,X_RAY_HIGH_VOLTAGE,2000,116,6:00:00,NOCHANGE,NOCHANGE,NOCHANGE,NOCHANGE,49
xray_safing,XGRS_X_RAY_SAFING,X_RAY_SAFING,2000,116,8:00:00,40000,10,12,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,116,13:00:00,25200,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,116,13:00:00,25200,MG,FORWARD,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,117,13:10:00,25200,AL,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,117,13:10:00,25200,AL,FORWARD,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,118,13:10:00,25200,CLEAR,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,118,13:10:00,25200,CLEAR,FORWARD,,
set_xray_int_per,XGRS_SET_X_RAY_INTEGRATION_PERIOD,SET_X_RAY_INTEGRATION_PERIOD,2000,123,0:00:00,50,,,,
set_gray_int_per,XGRS_SET_GAMMA_RAY_INTEGRATION_PERIOD,SET_GAMMA_RAY_INTEGRATION_PERIOD,2000,123,0:00:00,1200,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,124,10:20:00,19800,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,124,10:20:00,19800,MG,FORWARD,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,130,13:40:00,18600,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,130,13:40:00,18600,MG,FORWARD,,
al_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,131,13:10:00,18600,AL,,,
al_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,131,13:10:00,18600,AL,FORWARD,,
un_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,132,13:10:00,18600,CLEAR,,,
un_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,132,13:10:00,18600,CLEAR,FORWARD,,
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,137,05:22.6,510,4,2,0,0
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,137,53:29.6,510,4,-1,0,0
XGRQ_01,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,137,58:59.6,,,,,
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,137,3:45:15,510,4,-4,0,0
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,137,6:38:30,510,4,5,0,0
XGRQ_02,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,137,11:07:00,,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,137,12:10:00,21600,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,137,12:10:00,21600,MG,FORWARD,,
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,137,15:26.3,510,4,5,0,0
XGRQ_03,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,138,59:00.3,,,,,
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,138,3:45:15,510,4,5,0,0
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,138,7:08:30,510,4,-1,0,0
XGRQ_04,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,138,9:08:30,510,4,-4,0,0
XGRQ_04,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,138,10:57:00,,,,,
XGRQ_05,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,138,15:30.3,510,4,5,0,0
XGRQ_05,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,139,59:00.3,,,,,
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,139,3:45:15,510,4,5,0,0
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,139,6:13:30,510,5,0.6362,-2.7558,3.3706
XGRQ_06,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,139,7:13:30,510,4,5,0,0
XGRQ_06,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,139,11:07:00,,,,,
XGRQ_07,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,139,15:34.7,510,5,-13.7,-0.475,4.734
XGRQ_07,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,140,38:29.7,510,4,5,0,0
XGRQ_07,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,140,58:59.7,,,,,
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,140,3:45:15,510,4,5,0,0
XGRQ_08,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,140,10:13:30,510,5,-5.4352,5.0684,3.4655
XGRQ_08,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,140,11:07:00,,,,,
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,140,15:38.8,510,4,-1,0,0
XGRQ_09,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,18:29.8,510,4,5,0,0
XGRQ_09,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,141,58:59.8,,,,,
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,3:45:15,510,4,5,0,0
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,5:13:30,510,5,-4.0479,-2.5294,3.4679
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,6:23:30,510,5,11.1,-4.1,5.8
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,141,7:38:30,510,4,5,0,0
