NIS Mission Phases and Subphases.                                             
                                                                              
NIS-specific mission phase and subphase are working divisions of the NIS      
observations within the NEAR mission.  NIS observations are grouped by        
a 2-character NIS Phase/Subphase ID.  The first character identifies the      
NIS phase which is defined as the NEAR mission phase, such as A = Initial     
Cruise (CRU1), or an Eros orbital phase, such as J = 200 km Orbit at Eros.    
J = 200 km orbit at Eros, etc.  The second character identifies a NIS         
subphase within the NIS phase.  NIS subphases group a set of related          
observation sequences and allow easy distinction between observations close   
in time, but with different targets, sequence parameters, or scientific       
objectives.                                                                   
                                                                              
The mission elasped time, MET, corresponds to the first spacecraft 1-Hz pulse 
after the start of the first second of integration of the first spectrum of   
the sequence, i.e., 1 second after the actual start of the integration.       
The MET is defined as number of seconds since launch at UT February 17 1996   
20:43:28.78.  See Section 6.2 of Izenberg et al. (2000) for a detailed        
explanation of relative timing of spectrum acquisition and the spacecraft     
pulse.                                                                        
                                                                              
This table is a copy of Table 2 in the NIS document, EXTRINFO.TXT, found      
on the NEAR Archive volume /NNCOLL_1001/NNCRU1_0001/extras/.                  
                                                                              
                                                                              
   NIS Phase/Subphase               DOY               MET Range               
______________________________________________________________________        
                              A - Initial Cruise                              
AA- NIS Checkout                    96_108-96_110  005195300-005307000        
AB - All-On Test                    96_143         008134300-008214500        
AC - Dark Test                      97-220         046462700-046469100        
AD - Dark Test                      97-260         049913000-049921100        
AE - Cover open                     97-267         050512200-050522100        
AF - NIS Checkout (Caltarget A)     97-269         050668100-050677100        
                                                                              
                              B - Earth Flyby                                 
BA - Earth - Asia/Africa            98_023         060949600-060951200        
BB - Earth - S. Africa              98_023         060952200-060952700        
BC - Earth - Antarctica             98_023         060953700-060954000        
BD - Moon Radiometry                98_023         060993100-060995800        
BE - Caltarget B                    98_023         061004500-061005100        
BF - Moon MSI/NIS Coalign           98_026         061216600-061218800        
                                                                              
                              C - Final Cruise                                
CA - 300 sec. Dark Tests            98_231         078897700-078899000        
CB - Caltarget C                    98_231         078899000-078901000        
CC - Full Nixel Test-Caltarget      98_231         078901000-078909000        
CD - 300 sec. Dark Tests            98_231         078909000-078910000        
CE - Jupiter Mirror Plane Test      98_231         078924000-078932000        
CF - Seq. Exerciser/Throughput      98_313         085993000-086005000        
CG - Global seq. Test               98_323         086664000-086860000        
CH - Caltarget Stability Test       98_324         086930000-086936900        
CI - Deep Space Caltarget 1         98_324         086937000-086939000        
CJ - SDC Throughput                 98_348         089043000-089047000        
CK - Light Curve "3"*               98_349         089099000-089120600        
                                                                              
                           D - Eros Approach/Flyby                            
DA - Contingency Sequence           98_357         089837000-089861000        
                                                                              
